index_content,word,nature,index_word
36,胡乱,n,0
36,扣费,v,1
36,违法,vn,2
36,忽悠,z,3
36,青山区,ns,4
36,分公司,n,5
36,官僚,n,6
36,霸道,n,7
44,言,vg,0
44,道,q,1
44,科技,n,2
44,有限公司,n,3
44,诱导,vn,4
44,欺骗,v,5
44,消费,vn,6
58,大歌,n,0
58,诗画,n,1
58,佛教,nz,2
58,建筑,n,3
58,奇葩,n,4
58,古德寺,nr,5
89,中国,ns,0
89,创新,v,1
89,指数,n,2
89,创新,v,3
89,高,a,4
89,投入,v,5
89,强度,n,6
89,接近,v,7
89,经合组织,nt,8
89,国家,n,9
89,平均水平,n,10
111,垃圾,n,0
111,分类,n,1
111,必要性,l,2
111,好处,d,3
165,企,n,0
165,讯通,n,1
165,拖欠,v,2
165,员工工资,n,3
165,讨要,v,4
165,遭,v,5
165,威胁,vn,6
319,恒大,nz,0
319,科技,n,1
319,旅游城,n,2
319,挂,v,3
319,羊肉,n,4
319,卖,v,5
319,狗头,n,6
319,欺骗,v,7
319,消息,n,8
385,建博,v,0
385,实业公司,n,1
385,涉嫌,v,2
385,欺骗,v,3
385,消费者,n,4
386,常青,nr,0
386,花园,n,1
386,住户,n,2
386,楼上,s,3
386,漏水,n,4
386,拒,v,5
386,修理,v,6
445,洪山区,ns,0
445,保利,n,1
445,中央,n,2
445,公馆,n,3
445,违建,v,4
445,垃圾,n,5
445,中转站,n,6
445,未,d,7
445,拆除,v,8
447,旭,nr,0
447,辉,nr,1
447,千山,ns,2
447,凌云,nr,3
447,违规,vn,4
447,草签,n,5
447,合同,a,6
447,高,a,7
447,违约金,n,8
673,杨春,nr,0
673,湖畔,ns,1
673,精装修,l,2
673,漏水,n,3
673,发霉,a,4
673,开发商,n,5
673,逃避,v,6
673,拖延,v,7
692,东湖,ns,0
692,高新区,nr,1
692,加州,ns,2
692,香山,ns,3
692,美树,ns,4
692,垃圾,n,5
692,露天,v,6
692,臭味,n,7
692,熏天,nz,8
861,美联,ns,0
861,达,v,1
861,健身,v,2
861,后湖,ns,3
861,店,n,4
861,欺骗,v,5
861,消费者,n,6
862,鑫,nr,0
862,花园,n,1
862,小区,n,2
862,凌晨,t,3
862,清运,n,4
862,垃圾,n,5
862,噪音,n,6
862,扰民,n,7
879,洪山区,ns,0
879,团结,a,1
879,大道,n,2
879,汪家,nrfg,3
879,墩站,n,4
879,群星,n,5
879,城,n,6
879,修路,n,7
879,噪音,n,8
879,分贝,n,9
879,高,a,10
879,扰民,n,11
923,愚弄,v,0
923,欺骗,v,1
923,穿着,v,2
923,各种各样,l,3
923,美丽,ns,4
923,衣裳,n,5
932,东西,ns,0
932,湖,ns,1
932,万科,nz,2
932,高尔夫,nr,3
932,熙岸,nr,4
932,停车,v,5
932,收费,n,6
932,高,a,7
932,停车难,i,8
961,江岸区,ns,0
961,塔子湖,nr,1
961,街中,s,2
961,花园,n,3
961,西区,ns,4
961,堆放,v,5
961,垃圾,n,6
1012,江汉区,ns,0
1012,菱角,n,1
1012,湖,ns,2
1012,万达,nz,3
1012,栋,zg,4
1012,堆,v,5
1012,垃圾,n,6
1033,天瑞,nz,0
1033,国际,n,1
1033,公寓楼,n,2
1033,道路,n,3
1033,多年,m,4
1033,破旧不堪,l,5
1033,垃圾,n,6
1033,成堆,n,7
1034,江岸区,ns,0
1034,惠济,nr,1
1034,二路,m,2
1034,号,m,3
1034,深夜,t,4
1034,垃圾,n,5
1034,转运,v,6
1034,噪音,n,7
1034,较大,a,8
1133,野生动物,n,0
1133,王国,ns,1
1133,动物,n,2
1133,少,a,3
1133,门票,n,4
1133,贵,a,5
1237,朗,nr,0
1237,诗,n,1
1237,西海岸,s,2
1237,楼盘,n,3
1237,房屋,n,4
1237,质量,n,5
1237,合格,n,6
1237,欺骗,v,7
1237,业主,n,8
1237,收房,n,9
1286,新生路,nz,0
1286,工地,n,1
1286,绿墙,n,2
1286,缝隙,n,3
1286,处,n,4
1286,扔满,v,5
1286,垃圾,n,6
1307,嘉禾,nr,0
1307,园,zg,1
1307,小区,n,2
1307,黑心,n,3
1307,物业,n,4
1307,收钱,v,5
1307,政府部门,n,6
1307,管管,vn,7
1389,投诉,v,0
1389,江夏区,ns,1
1389,江,nr,2
1389,公园,n,3
1389,仕家,n,4
1389,小区,n,5
1389,水费,n,6
1389,高,a,7
1389,透明,v,8
1480,硚口区,v,0
1480,解放,v,1
1480,大道,n,2
1480,古田,nr,3
1480,一路,m,4
1480,路面,n,5
1480,坑,n,6
1496,投诉,v,0
1496,青山区,ns,1
1496,红,a,2
1496,钢城,n,3
1496,往至,d,4
1496,和平,nz,5
1496,公园,n,6
1496,道路,n,7
1496,多处,m,8
1496,坑,n,9
1518,阳,b,0
1518,逻泊,n,1
1518,湖,n,2
1518,天下,s,3
1518,三层楼,n,4
1518,高,a,5
1518,竹制,n,6
1518,脚手架,n,7
1579,垃圾清运,n,0
1579,车,zg,1
1579,凌晨,t,2
1579,清运,n,3
1579,垃圾,n,4
1579,影响,vn,5
1579,睡眠,v,6
1612,垃圾,n,0
1612,分类,n,1
1612,记于,v,2
1612,心,n,3
1612,绿色,n,4
1612,生活,vn,5
1612,践于,v,6
1612,行,n,7
1612,线下,n,8
1612,体验,n,9
1612,活动,vn,10
1697,西,f,0
1697,马路,n,1
1697,垃圾,n,2
1697,转运,v,3
1697,场,q,4
1697,晚上,t,5
1697,点,m,6
1697,凌晨,t,7
1697,五六,m,8
1697,点,m,9
1901,街,n,0
1901,社区,n,1
1901,推行,v,2
1901,垃圾,n,3
1901,分类,n,4
1901,建设,vn,5
1901,先进,a,6
1901,社区,n,7
1901,线,n,8
1901,宣传,vn,9
1901,活动,vn,10
1936,青山区,ns,0
1936,分公司,n,1
1936,宽带,n,2
1936,乱,d,3
1936,扣费,v,4
1936,违法,vn,5
1936,忽悠,z,6
1936,一年,m,7
1936,无人管,l,8
2030,昔日,t,0
2030,垃圾,n,1
2030,填埋场,n,2
2030,变,v,3
2030,身,ng,4
2030,热门,n,5
2030,打卡,v,6
2085,月,m,0
2085,湖边,s,1
2085,建设,vn,2
2085,垃圾,n,3
2085,处理厂,n,4
2113,金家,n,0
2113,台,q,1
2113,小区,n,2
2113,七号,m,3
2113,楼,n,4
2113,楼顶,n,5
2113,漏水,n,6
2144,国庆,t,0
2144,黄金周,nr,1
2144,湖北,ns,2
2144,景区,n,3
2144,热度,n,4
2144,高,a,5
2144,黄鹤楼,nr,6
2144,暂列,b,7
2144,全国,n,8
2144,热,n,9
2144,景区,n,10
2144,第一,m,11
2216,东西湖区,ns,0
2216,海昌,ns,1
2216,天澜,nz,2
2216,三期,t,3
2216,垃圾,n,4
2216,转运,v,5
2282,硚口区,v,0
2282,古田,nr,1
2282,四路,m,2
2282,广电,nz,3
2282,兰亭,nr,4
2282,荣荟,nr,5
2282,垃圾,n,6
2282,堆积,v,7
2375,朱家,nrfg,0
2375,河,ns,1
2375,堤岸,s,2
2375,垃圾,n,3
2375,未,d,4
2375,清理,a,5
2385,华清,nr,0
2385,社区,n,1
2385,新,a,2
2385,直街,n,3
2385,号,q,4
2385,顶楼,n,5
2385,水箱,n,6
2385,常年,d,7
2385,漏水,n,8
2465,东西湖区,ns,0
2465,环,v,1
2465,湖东路,ns,2
2465,园,n,3
2465,博园,n,4
2465,北路,ns,5
2465,丁字,nr,6
2465,交叉口,n,7
2465,马路,n,8
2465,坑,n,9
2465,凹,a,10
2496,年,m,0
2496,房屋,n,1
2496,漏水,n,2
2496,中建,ns,3
2496,三局,j,4
2496,物业,n,5
2496,太极,ns,6
2530,健康,a,0
2530,生活,vn,1
2530,心,s,2
2530,出发,v,3
2530,心理健康,n,4
2530,教育,vn,5
2530,系列,q,6
2530,活动,vn,7
2530,睡眠,v,8
2530,不好,d,9
2530,忽视,v,10
2574,武贵,nr,0
2574,高铁,n,1
2574,修改,v,2
2574,成,v,3
2574,天,q,4
2574,贵,n,5
2574,高铁,n,6
2574,招标,n,7
2661,汉阳区,ns,0
2661,天海,ns,1
2661,饰家,n,2
2661,公司,n,3
2661,欺骗,v,4
2661,消费者,n,5
2665,盘龙城,ns,0
2665,日月,t,1
2665,山水,ns,2
2665,小区,n,3
2665,凌晨,t,4
2665,清运,n,5
2665,垃圾,n,6
2665,噪音,n,7
2665,扰民,n,8
2733,垃圾,n,0
2733,扔,v,1
2733,前,f,2
2733,类分,n,3
2733,美好生活,i,4
2733,一百分,m,5
2733,临江,ns,6
2733,港湾,ns,7
2733,社区,n,8
2733,垃圾,n,9
2733,分类,n,10
2733,进,v,11
2733,家庭,n,12
2733,活动,vn,13
2736,绿地,n,0
2736,城,n,1
2736,一期,d,2
2736,区,n,3
2736,施工进度,n,4
2736,太慢,a,5
2757,大学生,n,0
2757,安居房,nr,1
2757,墙体,n,2
2757,漏水,n,3
2757,发霉,a,4
2757,生虫,n,5
2757,报修,v,6
2757,月,m,7
2757,回音,n,8
2805,青山区,ns,0
2805,钢,n,1
2805,花园,n,2
2805,房屋,n,3
2805,漏水,n,4
2838,歌,n,0
2838,笛,n,1
2838,桥,n,2
2838,地下通道,n,3
2838,门檐,n,4
2838,上方,f,5
2838,垃圾,n,6
2850,投诉,v,0
2850,钰,g,1
2850,程,n,2
2850,房地产,j,3
2850,世纪,n,4
2850,源金,n,5
2850,服,vn,6
2850,恶劣,a,7
2991,垃圾,n,0
2991,分类,n,1
2991,资源,n,2
2991,善,v,3
2991,利用,n,4
2991,临江,ns,5
2991,港湾,ns,6
2991,社区,n,7
2991,垃圾,n,8
2991,分类,n,9
2991,体验,n,10
2991,活动,vn,11
2992,东湖,ns,0
2992,高新区,nr,1
2992,中,f,2
2992,芯,ng,3
2992,二路,m,4
2992,绿化带,n,5
2992,里,f,6
2992,垃圾,n,7
2992,长霉,n,8
2992,发臭,v,9
3107,月,m,0
3107,日,m,1
3107,实行,v,2
3107,生活,vn,3
3107,垃圾,n,4
3107,强制,v,5
3107,分类,n,6
3107,分类,n,7
3107,垃圾,n,8
3107,收运,n,9
3107,单位,n,10
3107,拒收,v,11
3137,市,n,0
3137,武昌区,ns,1
3137,水果湖,nr,2
3137,南苑,ns,3
3137,村,n,4
3137,栋,q,5
3137,卫生间,n,6
3137,漏水,n,7
3148,世,n,0
3148,联行,v,1
3148,金融公司,n,2
3148,联合,v,3
3148,世联松,nr,4
3148,塔,j,5
3148,装修,v,6
3148,公司,n,7
3148,欺骗,v,8
3148,消费者,n,9
3735,十九,m,0
3735,高,a,1
3735,学生,n,2
3735,饭菜,n,3
3735,质量,n,4
3735,太,d,5
3735,差,a,6
3859,优众,n,0
3859,诚品,n,1
3859,欺骗,v,2
3859,客户,n,3
3859,交完,v,4
3859,钱,n,5
3859,车,n,6
4035,车商,n,0
4035,无耻,a,1
4035,欺骗,v,2
4043,共享,v,0
4043,单车,n,1
4043,当作,v,2
4043,垃圾,n,3
4043,丢,zg,4
4043,桥孔,n,5
4068,青山区,ns,0
4068,铁,n,1
4068,投,vn,2
4068,江南,ns,3
4068,御景,n,4
4068,住宅区,n,5
4068,地下,s,6
4068,停车场,n,7
4068,封闭,v,8
4068,数月,m,9
4068,停车费,n,10
4068,高,a,11
4092,长沙,ns,0
4092,新增,v,1
4092,名,q,2
4092,两院,j,3
4092,院士,n,4
4092,创新,v,5
4092,高,a,6
4138,冶金,n,0
4138,街,n,1
4138,街道,n,2
4138,强行,v,3
4138,江南,ns,4
4138,御景,n,5
4138,建,v,6
4138,垃圾,n,7
4138,分拣,v,8
4138,站,v,9
4139,汉川市,ns,0
4139,西湖路,ns,1
4139,木材,n,2
