index_content,word,nature,index_word
72,温暖,an,0
72,向阳,nr,1
72,夕阳,ns,2
72,暖,a,3
72,老年人,n,4
72,情绪,n,5
72,支持,v,6
72,小组,n,7
72,第六节,m,8
92,温暖,an,0
92,向阳,nr,1
92,夕阳,ns,2
92,暖,a,3
92,老年人,n,4
92,情绪,n,5
92,支持,v,6
92,小组,n,7
92,第五节,m,8
123,值得,v,0
123,暖,a,1
123,心事,n,2
124,温暖,an,0
124,向阳,nr,1
124,夕阳,ns,2
124,暖,a,3
124,老年人,n,4
124,情绪,n,5
124,支持,v,6
124,小组,n,7
124,第四节,m,8
153,温暖,an,0
153,向阳,nr,1
153,夕阳,ns,2
153,暖,a,3
153,老年人,n,4
153,情绪,n,5
153,支持,v,6
153,小组,n,7
153,第三节,m,8
197,临江,ns,0
197,港湾,ns,1
197,社区,n,2
197,温暖,an,3
197,向阳,nr,4
197,夕阳,ns,5
197,暖,a,6
197,老年人,n,7
197,情绪,n,8
197,支持,v,9
197,小组,n,10
197,第二节,m,11
222,温暖,an,0
222,向阳,nr,1
222,夕阳,ns,2
222,暖,a,3
222,老年人,n,4
222,情绪,n,5
222,支持,v,6
222,小组,n,7
222,第一节,m,8
247,主动,b,0
247,礼让,v,1
247,行人,n,2
247,路,n,3
247,司机,n,4
247,点,q,5
247,赞,v,6
264,科技,n,0
264,大学,n,1
264,寝室,n,2
264,走访,v,3
264,慰问,v,4
264,新生,n,5
264,迎新,v,6
264,工作,vn,7
264,收获,v,8
264,好评,v,9
380,汉阳,ns,0
380,桃花岛,ns,1
380,核酸,n,2
380,检测,vn,3
380,现场,n,4
380,工作人员,n,5
380,点,m,6
380,赞,v,7
396,赞,v,0
396,中华文明,ns,1
396,爱,v,2
396,民俗文化,n,3
433,雨水,n,0
433,无情,n,1
433,防范,v,2
433,松,v,3
433,点,m,4
433,赞,v,5
433,龟山,ns,6
433,罩住,n,7
433,山体,n,8
515,重庆,ns,0
515,建,v,1
515,社区,n,2
515,公园,n,3
515,点,m,4
515,赞,v,5
515,曾院平,nr,6
515,摄影,n,7
638,最美,a,0
638,光谷,n,1
638,量子,n,2
638,号,m,3
638,有轨电车,l,4
638,站,v,5
638,设计,vn,6
638,获,v,7
638,网友,n,8
638,点,m,9
638,赞,v,10
638,曾院平,nr,11
638,摄影,n,12
660,点,m,0
660,赞,v,1
660,热心,n,2
660,服务,vn,3
666,点,m,0
666,赞,v,1
666,市湖,n,2
666,溪河,ns,3
666,改扩建,j,4
666,贯通,v,5
666,曾院平,nr,6
666,摄影,n,7
666,报道,v,8
722,点,m,0
722,赞,v,1
722,市,n,2
722,加速,v,3
722,整治,n,4
722,东湖,ns,5
722,水质,n,6
722,曾院平,nr,7
722,摄影,n,8
896,汉口,ns,0
896,游玩,n,1
896,吉庆街,nr,2
896,值得,v,3
896,转,v,4
972,风华,n,0
972,人生,n,1
972,乐享,nr,2
972,颐养,v,3
972,老年,t,4
972,支持,v,5
972,小组,n,6
972,第二节,m,7
972,肩并肩,l,8
972,手牵手,i,9
983,点,m,0
983,赞,v,1
983,负责,v,2
983,任的,r,3
983,医生,n,4
1064,感谢,v,0
1064,地铁,n,1
1064,暖心,n,2
1064,服务,vn,3
1076,打通,v,0
1076,公里,q,1
1076,点,m,2
1076,赞,v,3
1076,湖北,ns,4
1076,食,v,5
1076,药局,n,6
1076,公示,v,7
1076,时,n,8
1076,邮箱,n,9
1107,武大,j,0
1107,医院,n,1
1107,省,n,2
1107,医院,n,3
1107,暖,a,4
1107,心,n,5
1107,医务人员,n,6
1107,点,m,7
1107,赞,v,8
1253,通,v,0
1253,交通卡,n,1
1253,支持,v,2
1310,朋友,n,0
1310,位置,v,1
1310,广场,n,2
1310,帮,v,3
1310,地方,n,4
1310,感谢,v,5
1310,网友,n,6
1313,感谢,v,0
1313,中国电信,nt,1
